,File,Analysis,Decoded State (Start),Decoded State (Stop),Transition Direction,Change Point Time (s),Counts (Mean),Counts (Variance),Counts (Sum),Counts (Min),Counts (Max),Duration (Number of Bins),Duration (us),Coefficient of Dispersion,Sample Size Error (%),Number of Bead States,Input Bead Arrival Rate (/s),Input Probability Stay Background,Input Bead Transit Time (us),Input Probability Stay Bead,Bin Width (s),Input lambda0 (/s),Input lambda1 (/s),h_i,h_d
30,med,HMMViterbi,1,3,1.0,0.036433,1.3333333333333333,1.176470588235294,24.0,0.0,4.0,18.0,18.0,0.8823529411764705,23.57022603955158,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
31,med,HMMViterbi,0,0,-1.0,0.036451,0.23503902862098872,0.243214250103004,542.0,0.0,4.0,2306.0,2306.0,1.0347823998847365,2.0824296970586245,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
32,med,HMMViterbi,1,3,1.0,0.038757,4.380952380952381,8.647619047619049,92.0,0.0,10.0,21.0,21.0,1.973913043478261,21.821789023599237,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
33,med,HMMViterbi,0,0,-1.0,0.038778,0.2209236031927024,0.2269130902553908,775.0,0.0,3.0,3508.0,3508.0,1.027111123375369,1.6883800336329358,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
34,med,HMMViterbi,1,3,1.0,0.042286,3.3157894736842106,5.3391812865497075,63.0,0.0,9.0,19.0,18.999999999999996,1.6102292768959434,22.94157338705618,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
35,med,HMMViterbi,0,0,-1.0,0.042304999999999995,0.22795513373597928,0.22987077465218697,1321.0,0.0,4.0,5795.0,5795.0,1.0084035875165962,1.3136306707967733,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
36,med,HMMViterbi,1,3,1.0,0.0481,2.6923076923076925,3.8974358974358974,35.0,1.0,8.0,13.0,13.0,1.4476190476190476,27.735009811261456,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
37,med,HMMViterbi,0,0,-1.0,0.048112999999999996,0.25595238095238093,0.2754134587966924,43.0,0.0,3.0,168.0,168.0,1.0760339785545192,7.715167498104596,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
38,med,HMMViterbi,1,3,1.0,0.048281,1.625,1.125,13.0,0.0,3.0,8.0,8.0,0.6923076923076923,35.35533905932738,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
39,med,HMMViterbi,0,0,-1.0,0.048289,0.27312775330396477,0.24311734788147543,124.0,0.0,2.0,454.0,454.0,0.890123193049918,4.69323254463932,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
